mode_id,model,total_attempts,successful_attempts,failed_attempts,success_rate,average_time_seconds_success_only,min_time_seconds_success_only,max_time_seconds_success_only,avg_tokens_per_second_success_only,avg_total_duration_ns_success_only,avg_prompt_eval_count_success_only,avg_eval_count_success_only,avg_gpu_utilization_percent_success_only,avg_gpu_memory_used_mib_success_only,avg_gpu_temperature_c_success_only,avg_gpu_power_draw_w_success_only,avg_gpu_energy_wh_success_only,processor,loaded_size,context,done_reason_main_success_only,done_reason_success_only_unique_count,done_reason_success_only_counts,postprocessing_success_only_main,postprocessing_success_only_unique_count,postprocessing_success_only_counts
grammar_conditionals_1_2_3,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,79,21,0.79,30.8126,24.186,39.713,47.4484,28756887772.15,461.0,1079.7722,92.9918,5159.3119,64.0841,62.4676,0.456894,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 79}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 79}"
grammar_conditionals_1_2_3,deepseek-r1_8b,100,48,52,0.48,16.7928,15.457,20.755,40.3282,14732762477.08,234.0,521.5625,90.8989,5267.3516,60.3256,61.5308,0.227395,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 48}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 48}"
grammar_conditionals_1_2_3,llama3.1_8b,100,100,0,1.0,22.8067,20.041,29.106,31.8271,20752075265.0,242.0,581.23,57.3793,5150.412,64.7803,60.5583,0.312909,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
grammar_conditionals_1_2_3,ministral-3_3b,100,64,36,0.64,9.9613,9.168,11.473,72.1532,7911739528.12,241.0,531.7812,82.5928,4378.0,56.3157,62.295,0.117633,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 64}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 64}"
grammar_conditionals_1_2_3,qwen3.5_4b,100,100,0,1.0,24.3168,22.752,29.164,26.9347,22267125841.0,274.0,563.65,48.8266,4300.2661,66.1148,61.057,0.337782,30%/70% CPU/GPU,6.2 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
grammar_gerund_vs_infinitive,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,82,18,0.82,25.5144,23.459,38.205,48.2898,23460503064.63,479.0,882.6707,93.4557,5162.0,62.9508,62.8704,0.372917,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 82}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 82}"
grammar_gerund_vs_infinitive,deepseek-r1_8b,100,69,31,0.69,14.384,13.819,14.813,39.9682,12334298618.84,245.0,436.7681,90.5644,5274.0,60.2817,61.7068,0.188529,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 69}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 69}"
grammar_gerund_vs_infinitive,llama3.1_8b,100,100,0,1.0,18.4623,12.069,20.989,31.8297,16409608983.0,253.0,455.99,56.5183,5154.0,64.9915,60.642,0.246251,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
grammar_gerund_vs_infinitive,ministral-3_3b,100,88,12,0.88,10.4379,9.381,11.462,72.2158,8385808397.73,254.0,565.2273,84.0807,4378.0,56.9701,62.1615,0.125755,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 88}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 88}"
grammar_gerund_vs_infinitive,qwen3.5_4b,100,100,0,1.0,24.1527,21.775,27.496,26.923,22103548603.0,285.0,560.24,48.768,4302.0,66.5949,60.9419,0.335802,30%/70% CPU/GPU,6.2 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
